Plot,Date,time,T_K,J,A,J_SE_L,J_SE_H,A_SE_L,A_SE_H
A,1972/08,225,298,4.7465,1.4777,4.7447,4.7483,1.3902,1.5505
A,1972/09,255,298.3,3.0224,1.0377,3.0088,3.0356,0.881,1.1526
A,1972/11,315,300.9,4.7762,1.5646,4.7744,4.778,1.4862,1.6309
A,1972/12,345,300.7,4.809,1.6325,4.8073,4.8107,1.5605,1.6942
A,1973/01,375,301.6,4.08,1.4395,4.076,4.0839,1.3477,1.5153
A,1973/02,405,303.7,3.5501,0.8074,3.5427,3.5573,0.5893,0.9519
A,1973/03,435,303,2.5397,0.6488,2.5157,2.5624,0.37,0.8172
A,1973/04,465,301.9,4.0137,1.4715,4.0094,4.018,1.3833,1.5448
A,1973/05,495,300.9,3.1612,1.5051,3.1496,3.1725,1.4206,1.5758
B,1972/10,285,299.1,2.5182,0.5491,2.4936,2.5415,0.2198,0.7342
B,1972/11,315,300.3,6.2452,2.2527,6.2449,6.2455,2.219,2.284
B,1972/12,345,300.2,4.2176,1.7036,4.2142,4.221,1.6378,1.7608
B,1973/01,375,301.1,5.268,1.8979,5.267,5.269,1.8461,1.9442
B,1973/02,405,303.3,5.5452,2.0403,5.5445,5.5459,1.9967,2.0799
B,1973/03,435,302.5,5.0269,1.5581,5.0256,5.0282,1.4791,1.6249
B,1973/04,465,301.4,4.7985,1.6632,4.7968,4.8002,1.594,1.7229
B,1973/05,495,300.3,3.9011,1.4784,3.8962,3.9059,1.391,1.5511
B,1973/06,525,299.2,4.0816,1.7248,4.0776,4.0855,1.6607,1.7807
B,1973/07,555,298.2,3.5707,1.1237,3.5635,3.5778,0.9844,1.2289
B,1973/08,585,298.3,3.5877,1.1842,3.5807,3.5946,1.0559,1.2831
B,1973/09,615,298.7,3.6196,0.702,3.6128,3.6263,0.4458,0.8621
C,1972/10,285,299.3,2.9296,0.4459,2.9144,2.9442,0.0497,0.6496
C,1972/11,315,300.4,3.7639,0.6753,3.7582,3.7696,0.408,0.8395
C,1972/12,345,299.9,4.8092,1.6,4.8075,4.8109,1.53,1.67
C,1973/01,375,301,5.2377,1.8,5.2367,5.2387,1.745,1.855
C,1973/05,495,300.4,4.0424,1.0889,4.0382,4.0465,0.9429,1.198
C,1973/06,525,299.2,3.6888,1.0475,3.6825,3.695,0.893,1.1612
C,1973/07,555,298.2,4.0197,1.1866,4.0154,4.0239,1.0587,1.2853
C,1973/08,585,298.1,3.1927,0.7694,3.1816,3.2036,0.5384,0.9193
C,1973/09,615,298.3,3.8092,0.9534,3.8038,3.8146,0.7771,1.0785
C,1973/10,645,299.1,3.2528,0.837,3.2424,3.2629,0.6283,0.9773
C,1973/11,675,299.4,3.5913,0.555,3.5843,3.5982,0.2292,0.7391
C,1973/12,705,300.1,5.531,1.5287,5.5303,5.5317,1.4467,1.5976
