Species,Latitude,Habitat,subfamily,meanT.h,amplT.h,shiftT.h,delta_mean.h,delta_ampl.h,amplD.h,meanT.f,amplT.f,shiftT.f,delta_mean.f,delta_ampl.f,amplD.f,Notes
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,300.2,1.52,11.8,0.0000448,-0.0000086,5.98,301.2,1.04,47.9,0.000117,0,2.31,
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,300.2,1.52,11.8,0.0000448,-0.0000086,5.98,301.2,1.04,47.9,0.000117,0,2.31,
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,301.6,1.96,130.7,0,0,7.97,303.2,1.18,107.5,0,0,7.21,Not using delta_mean or delta_ampl
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,,,,,,,,,,,,,
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,,,,,,,,,,,,,
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,,,,,,,,,,,,,
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,,,,,,,,,,,,,
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,,,,,,,,,,,,,
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,,,,,,,,,,,,,
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,,,,,,,,,,,,,
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,,,,,,,,,,,,,
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,,,,,,,,,,,,,
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,,,,,,,,,,,,,
