Species,Latitude,Habitat,Subfamily,bTopt,Toptb,sb,mTR,TR,AmJ,AL,TL,AH,TH,Tmin,Topt,Tmax,dJTR,AdJ,dATR,AdA,qTopt,rMax,rTopt,rTmax,rs,R0Topt,ToptR0,sR0,Notes
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,8.88,300.5,3.69,0.02,293,7185,-32190,286.5,277540,305.9,286.3,305,307,0.0005,35450,0.016,9468,0.25,0.134,301.7,306.8,3.23,116.6,299.5,-3.07,
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,6.69,303.8,5.5,0.026,293,7600,-66162,288.3,235541,309.6,287.2,307,313,0.017,5825,0.039,5951,0.25,0.154,304.2,313.2,4.05,38.8,300.5,4.89,
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,4.81,302.6,4.16,0.036,293,6366,-49982,290.6,232907,310,288.2,309,313,0.007,13980,0.014,3916,0.25,0.088,303,324.5,3.37,201,302.1,3.29,"Fecundity, adult mortality, and R0 set to Clavigralla tomentosicollis Burkina Faso"
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,4.81,302.6,4.16,0.036,293,8821,-64796,295.3,166800,312.2,293.5,311,315,0.012,15000,0.014,3916,0.25,0.088,303,324.5,3.37,201,302.1,3.29,Used dJTR from data
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,2.72,298.8,8.1,0.037,293,2857,-40519,285.3,215829,309,283.1,303,311,0.02,12310,0.025,3876,0.25,0.165,306.4,308.5,9.06,46.5,297.2,7.15,Tmin = 10 (temperature reported with zero development); no development Tmax (= TH + 2)
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,2.83,301,8.91,0.027,293,6754,-62876,285.2,30065,308.1,280.3,303,310.1,0.016,10350,0.028,5165,0.25,0.083,300.8,315.6,5.82,50,299.7,6.24,No development Tmax (= TH + 2)
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,2.72,298.8,8.1,0.037,293,2857,-40519,285.3,215829,309,283.1,303,311,0.02,12310,0.025,3876,0.25,0.165,306.4,308.5,9.06,46.5,297.2,7.15,Tmin = 10 (temperature reported with zero development); no development Tmax (= TH + 2)
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,2.83,301,8.91,0.027,293,6754,-62876,285.2,30065,308.1,280.3,303,310.1,0.016,10350,0.028,5165,0.25,0.083,300.8,315.6,5.82,50,299.7,6.24,No development Tmax (= TH + 2)
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,4.34,292.3,4.65,0.445,293,3262,-63454,285.5,36530,299.8,284,301,301.8,0.087,2052,0.064,5975,0.25,0.246,294.3,305,4.95,65.9,288.1,6.99,Tmin calculated manually; no development Tmax
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,4.08,292.1,5.03,0.478,293,7096,-66946,285.2,42437,298.5,280.8,301,300.5,0.072,18870,0.053,22803,0.25,0.257,294.2,302.1,4.23,69.2,292.3,4.08,Used dATR from data; no development Tmax
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,4.94,294.3,4.92,0.478,293,5162,-57240,285.4,35138,298.1,286.3,301,300.1,0.061,12080,0.062,14140,0.25,0.249,295,302.1,4.89,45.1,291.1,5.22,Tmin calculated manually; no development Tmax
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,2.83,297,6.75,0.041,293,5405,-112637,285,57840,304.7,279.9,300.7,306.7,0.023,11240,0.012,5235,0.25,0.1,300.1,306,6.08,140.2,293.3,4.61,No development Tmax (= TH + 2)
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,3.09,298,6.65,0.043,293,5147,-117479,285,61244,304.7,279.3,300.7,306.7,0.024,10810,0.012,7156,0.25,0.104,300.7,304.6,6.11,100.1,293,6.29,r calculated using Topt from temperature responses; no development Tmax (= TH + 2)
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,4.36,291.5,7.7,0.099,293,4369,-70499,281.9,26649,305.6,277,299.9,307.6,0.213,17600,0.127,11240,0.25,0.286,296.2,307,6.67,51.2,290.6,3.92,"On cv. Scout; Tmin calculated manually; no development Tmax; how was development fit (AL = -199975, TL = 284, AH = 125898, TH = 301)?"
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,10.2,297.3,5.26,0.032,293,7807,-37956,286.8,32349,307.6,285.3,303,309.6,0.011,9480,0.03,7337,0.25,0.194,298.8,310.5,3.75,160.6,295.4,3.83,Different suborder of Hemiptera; development fits are not great; no development Tmax (= TH + 2)
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,4.26,295.9,7.32,0.135,293,5015,-42080,281.7,520700,303.4,277.8,303,308,0.026,15510,0.057,5363,0.25,0.443,300,307.2,7.05,56.6,290.9,8.21,
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,2.87,297.5,7.31,0.122,293,5811,-29807,281.8,38128,308.7,279.5,303,310.7,0.035,8128,0.055,5445,0.25,0.306,300.6,307.8,6.05,42.3,292.9,6.61,Development fits from Figure 1 of Wang et al. 1997; no development Tmax
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,19.3,298.6,4.31,0.032,293,9105,-13480000,285,145500,303.4,283.2,301,306,0.012,3012,0.018,4647,0.25,0.199,301,304.4,4.62,270.8,297.9,5.25,Different suborder of Hemiptera; r calculated using Topt from temperature responses
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,4.92,294,5.73,0.05,293,5066,-65912,282.3,131069,305.2,277.5,303,307.2,0.009,19109,0.04,7862,0.25,0.204,301,305,7.9,110.6,290.6,5.78,No development Tmax (= TH + 2)
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,0.78,288.7,8.05,0.18,293,5906,-34923,278.2,123493,299.8,275.5,298,303,0.005,44786,0.038,10370,0.25,1.49,293.4,303,6.39,40.8,284.1,7.66,Used dJTR from data
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,2.67,291.9,4.88,0.1,293,5024,-59160,277.2,726500,298.4,272.7,298,303,0.035,17090,0.03,5033,0.25,3.42,295.9,303,5.94,81.7,289.3,5.32,
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,2.59,293,3.81,0.117,293,5844,-33123,280.2,107322,298.9,277.9,297,301,0.005,3567,0.038,6866,0.25,0.332,297,300.7,7.11,63.1,290.8,4.85,Used dJTR from data; r calculated using Topt from temperature responses
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,2.5,298.5,6.6,0.106,293,6092,-43779,280.7,29702,307.9,279.7,303,309.9,0.05,6577,0.062,7313,0.25,0.397,300.4,309.1,5.83,23.5,295.5,6.21,No development Tmax (= TH + 2)
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,1.63,292.1,6.7,0.111,293,5078,-47322,280.5,90315,303.1,275.3,303,308,0.007,26765,0.021,12400,0.25,0.464,296.2,303.8,5.67,78.6,288.3,7.21,Used dJTR from data
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,0.94,289.2,4.93,0.069,293,6787,-5553933,280,82660,303.4,277.3,303,308,0.04,13110,0.065,-1487,0.25,0.139,295.4,300.2,5.57,12.4,289.8,5.32,dA declines with T
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,3.34,291,6.29,0.097,293,6229,-41946,278.1,30315,302.4,275.9,303,308,0.019,17350,0.081,608,0.25,0.299,296.5,302,5.54,41.4,291.7,5.72,
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,6.18,292.9,5.01,0.099,293,7318,-36505,277.4,90844,303.2,277.1,303,308,0.038,5817,0.1,2867,0.25,0.357,296,307.9,4.47,53.2,293,5.58,
